id,Iso2,acceso_agua_potable(%),acceso_servicios_sanitarios(%),camas_hospitales_c/1000personas,cambio_de_la_población,cambio_natural_población,capacidad_estadística,año,densidad_población_por_kilómetro_cuadrado),duración_educ_obligatoria,emisiones_co2,esperanza_vida_mujeres,esperanza_vida_total,esperanza_vida_varones,estabilidad_política,estado_civil_casado_porcentaje,gasto_púb_educacion_pje,pais_id,inversion_salud_percapita,mediana_edad_población,migración_neta_total,mortalidad_infantil_c/1000nacimientos,pib_pc_prec_inter,pib_pc_usd_actuales,pib_ppa_prec_inter,población_femenina_edad_reproductiva_(15-49 años),población_hombres_pje,población_mujeres_pje,población_total_por_sexo_ambos,población_total_por_sexo_fem,población_total_por_sexo_masc,porcentaje_de_bosque,prevalencia_anticonceptivos_porcentaje,proporción_sexos_población_total,tasa_bruta_cambio_natural_población,tasa_bruta_migración_neta,tasa_bruta_mortalidad_por_1000_habitantes,tasa_bruta_variación_total_población,tasa_desempleo,tasa_fertilidad,tasa_mortalidad_infantil_ambos,tasa_mortalidad_infantil_fem,tasa_mortalidad_infantil_masc,tasa_mortalidad_menores_cinco_años_ambos,tasa_mortalidad_menores_cinco_años_fem,tasa_mortalidad_menores_cinco_años_masc,tasa_mortalidad_suicidio_c/100.000,tasa_poblacion_urbana,total_muertes_por_sexo_ambos,total_muertes_por_sexo_fem,total_muertes_por_sexo_masc,índice_gini
2101,GM,,,,37434.0,40386.0,,1996,126.390316205534,,0.188988661539347,55.575,54.296,53.122,0.559609055519104,74.9241026813451,2.56627988815308,86.0,,15.9420046023867,-2951.0,69.0,1664.28127212782,728.669071886674,1937374850.35255,291115.0,49.9899921913321,50.0100078086679,1279070.0,645879.0,633191.0,37.5752964426877,10.7,98.035545357567,31.526,-2.304,12.751,2.927,8.99199962615967,5.95572,70.59104,67.32136,73.8429,133.312293149606,125.498593497787,140.968500912529,,44.258,16334.0,7548.0,8786.0,
2774,IM,,,1.76939461735904,756.0,65.0,,2005,138.837412587413,,,,,,,,,107.0,,39.8617618241114,684.0,,,37766.6795361987,,18492.0,,,79415.0,40249.0,39167.0,6.07017543859649,,97.3117010571823,0.822000000000001,8.647,10.719,0.952,,1.851166,14.88294,13.35499,16.33696,18.6484696487607,17.493905444091,19.753479558995,,51.905,848.0,437.0,411.0,
2103,GM,,,,36147.0,37738.0,,1994,119.158349802372,,0.191917705687801,54.794,53.508,52.326,,75.7132889908938,,86.0,,16.0282197599226,-1591.0,73.0,1651.40275595639,682.214156931891,1806996272.21985,273505.0,49.9994973583899,50.0005026416101,1205883.0,607838.0,598045.0,38.7083003952569,10.3,98.3887976730642,31.266,-1.318,13.712,2.998,8.95100021362305,6.037436,75.03291,71.66601,78.39133,143.907113391731,135.595589778033,152.05543555645,,42.472,16550.0,7656.0,8894.0,
2104,GM,,,,39001.0,35869.0,,1993,115.445503952569,,0.197952417894522,54.446,53.157,51.973,,76.0208122385158,,86.0,,16.0787210609295,3130.0,75.1,1665.14699737563,711.726180956623,1766489508.7829,264781.0,49.9636615918579,50.0363384081421,1168309.0,588732.0,579577.0,39.2748023715415,10.0,98.4450466808724,30.737,2.682,14.408,3.339,8.89900016784668,6.043159,77.26697,73.78788,80.74175,149.529642671828,140.910293431452,157.98065333855,,41.586,16814.0,7762.0,9052.0,
2105,GM,,,,43311.0,34133.0,,1992,111.378705533597,,0.194651748556657,54.128,52.834,51.645,,76.4580140470524,1.16983997821808,86.0,,16.1158417920545,9180.0,77.1,1630.33550138679,695.155371515626,1675130599.62289,255369.0,49.9186355691033,50.0813644308967,1127153.0,568193.0,558960.0,39.8413043478261,9.8,98.3751105479217,30.4,8.176,14.983,3.843,8.86400032043457,6.105425,79.54418,75.9461,83.14152,155.156014115081,146.164437915403,163.971703640238,,40.52,16822.0,7801.0,9021.0,
2106,GM,,,,43922.0,32399.0,,1991,107.068774703557,,0.201476622163839,53.832,52.528,51.332,,76.9671630931444,3.78061008453369,86.0,,16.1382724736499,11531.0,79.1,1595.97551976198,695.410988509787,1584278615.17764,245482.0,49.8892382269654,50.1107617730346,1083536.0,546633.0,536903.0,40.4078063241107,9.6,98.2200123300277,30.056,10.697,15.541,4.054,8.83300018310547,6.17276,81.79254,78.08722,85.50184,160.762262821979,151.426173160343,169.916914231698,,39.41,16753.0,7803.0,8950.0,
2107,GM,,,0.6108999848,41919.0,30674.0,,1990,102.827618577075,,0.198829001826087,53.538,52.221,51.015,,77.4911506523291,2.82583999633789,86.0,,16.1575161061983,11239.0,81.2,1555.34037995248,331.817740281771,1486275490.38069,235807.0,49.8977077109026,50.1022922890974,1040616.0,525502.0,515114.0,40.9743083003953,9.3,98.0233167745477,29.631,10.857,16.102,4.029,,6.21777,84.03755,80.3131,87.77359,166.321679854767,157.010494279977,175.459803467576,,38.312,16668.0,7826.0,8842.0,
2108,GE,97.3481397,85.76672943,,-6542.0,-3804.0,87.7777666666667,2020,54.1935818103324,9.0,,78.273,73.919,69.508,-0.415690362453461,67.582604672449,3.85008001327515,82.0,,36.2983715518325,-2734.0,8.2,14731.2005947457,4255.74299321254,54840076153.2695,864487.0,47.659653938471,52.340346061529,3765912.0,1994459.0,1771454.0,40.6159159591308,31.6,88.8187696058855,-1.01,-0.726,13.976,-0.174,18.5,1.971311,8.29136,7.33644,9.18448,9.26334244138594,8.19940593778401,10.2582245799699,,59.453,52643.0,24606.0,28036.0,34.5
2109,GE,97.22220142,85.92302303,,-3255.0,2151.0,87.7777666666667,2019,54.2640739674773,9.0,2.71762422558518,78.14,73.767,69.349,-0.488382637500763,67.5923835660907,3.80864000320435,82.0,291.12203979,36.2024512561333,-5414.0,8.4,15621.8736565619,4696.15058555612,58115885124.0691,871171.0,47.682173719626,52.317826280374,3770811.0,1996062.0,1774749.0,40.6159159591308,31.2,88.9125410214064,0.571,-1.435,12.88,-0.086,11.5699996948242,2.010758,8.5096,7.53091,9.42424,9.50837830011819,8.41685050069496,10.528237841784,9.2,59.039,48588.0,22643.0,25944.0,35.9
2110,GE,97.09507948,86.08750022,,226.0,5407.0,87.7778,2018,54.2858684702835,9.0,2.56805953573245,77.989,73.6,69.174,-0.441573560237885,67.4931262039551,3.5210599899292,82.0,312.74691772,36.1235633756457,-5174.0,8.7,14593.9244791426,4722.0424231414,54384974673.8243,878691.0,47.7087624964214,52.2912375035786,3772325.0,1996134.0,1776191.0,40.6159159591308,30.8,88.9815513387378,1.432,-1.371,12.963,0.006,12.6700000762939,2.114278,8.7155,7.69185,9.67089,9.73835289854663,8.59559673312005,10.804689366284,9.4,58.632,48926.0,22952.0,25974.0,36.4
