id,pais_id,año,INB_percapita,nivel_id
557,25.0,1990,,
558,17.0,2020,45810.0,3.0
559,17.0,2019,48050.0,3.0
560,17.0,2018,46070.0,3.0
561,17.0,2017,42520.0,3.0
562,17.0,2016,43400.0,3.0
563,17.0,2015,45570.0,3.0
564,17.0,2014,47820.0,3.0
565,17.0,2013,47900.0,3.0
566,17.0,2012,47130.0,3.0
567,17.0,2011,46490.0,3.0
568,17.0,2010,47080.0,3.0
569,17.0,2009,46980.0,3.0
570,17.0,2008,46570.0,3.0
571,17.0,2007,42740.0,3.0
572,17.0,2006,39940.0,3.0
573,17.0,2005,37780.0,3.0
574,17.0,2004,32910.0,3.0
575,17.0,2003,27100.0,3.0
576,17.0,2002,24060.0,3.0
577,17.0,2001,24460.0,3.0
578,17.0,2000,25890.0,3.0
579,17.0,1999,25980.0,3.0
580,17.0,1998,26530.0,3.0
581,17.0,1997,28450.0,3.0
582,17.0,1996,28550.0,3.0
583,17.0,1995,27070.0,3.0
584,17.0,1994,25090.0,3.0
585,17.0,1993,23410.0,3.0
586,17.0,1992,23170.0,3.0
587,17.0,1991,20580.0,3.0
588,17.0,1990,19310.0,3.0
589,26.0,2020,3930.0,1.0
590,26.0,2019,4610.0,2.0
591,26.0,2018,4560.0,2.0
592,26.0,2017,4430.0,2.0
593,26.0,2016,4370.0,2.0
594,26.0,2015,4440.0,2.0
595,26.0,2014,4290.0,2.0
596,26.0,2013,4180.0,2.0
597,26.0,2012,4120.0,2.0
598,26.0,2011,4070.0,2.0
599,26.0,2010,3910.0,1.0
600,26.0,2009,4060.0,2.0
601,26.0,2008,3880.0,1.0
602,26.0,2007,3710.0,1.0
603,26.0,2006,3760.0,1.0
604,26.0,2005,3660.0,1.0
605,26.0,2004,3590.0,1.0
606,26.0,2003,3450.0,1.0
607,26.0,2002,3220.0,1.0
608,26.0,2001,3140.0,1.0
609,26.0,2000,3150.0,1.0
610,26.0,1999,2880.0,1.0
611,26.0,1998,2780.0,1.0
612,26.0,1997,2890.0,1.0
613,26.0,1996,2880.0,1.0
614,26.0,1995,2860.0,1.0
615,26.0,1994,2780.0,1.0
616,26.0,1993,2790.0,1.0
617,26.0,1992,2680.0,1.0
618,26.0,1991,2420.0,1.0
619,26.0,1990,2260.0,1.0
620,18.0,2020,1280.0,1.0
621,18.0,2019,1250.0,1.0
622,18.0,2018,1200.0,1.0
623,18.0,2017,1090.0,1.0
624,18.0,2016,1110.0,1.0
625,18.0,2015,1180.0,1.0
626,18.0,2014,1270.0,1.0
627,18.0,2013,1220.0,1.0
628,18.0,2012,1120.0,1.0
629,18.0,2011,1090.0,1.0
630,18.0,2010,1080.0,1.0
631,18.0,2009,1090.0,1.0
632,18.0,2008,1030.0,1.0
633,18.0,2007,920.0,0.0
634,18.0,2006,860.0,0.0
635,18.0,2005,820.0,0.0
636,18.0,2004,730.0,0.0
637,18.0,2003,600.0,0.0
638,18.0,2002,530.0,0.0
639,18.0,2001,530.0,0.0
640,18.0,2000,480.0,0.0
641,18.0,1999,410.0,0.0
642,18.0,1998,370.0,0.0
643,18.0,1997,380.0,0.0
644,18.0,1996,350.0,0.0
645,18.0,1995,360.0,0.0
646,18.0,1994,330.0,0.0
647,18.0,1993,380.0,0.0
648,18.0,1992,370.0,0.0
649,18.0,1991,380.0,0.0
650,18.0,1990,370.0,0.0
651,27.0,2020,111750.0,3.0
652,27.0,2019,117290.0,3.0
653,27.0,2018,117000.0,3.0
654,27.0,2017,112940.0,3.0
655,27.0,2016,103620.0,3.0
656,27.0,2015,101120.0,3.0
657,27.0,2014,99920.0,3.0
658,27.0,2013,101760.0,3.0
659,27.0,2012,100100.0,3.0
660,27.0,2011,101610.0,3.0
661,27.0,2010,103480.0,3.0
662,27.0,2009,,
663,27.0,2008,,
664,27.0,2007,,
665,27.0,2006,,
666,27.0,2005,,
667,27.0,2004,,
668,27.0,2003,,
669,27.0,2002,,
670,27.0,2001,,
671,27.0,2000,,
672,27.0,1999,,
673,27.0,1998,,
674,27.0,1997,,
675,27.0,1996,,
676,27.0,1995,,
677,27.0,1994,,
678,27.0,1993,,
679,27.0,1992,,
680,27.0,1991,,
681,27.0,1990,,
682,32.0,2020,2840.0,1.0
683,32.0,2019,3150.0,1.0
684,32.0,2018,2970.0,1.0
685,32.0,2017,2800.0,1.0
686,32.0,2016,2650.0,1.0
687,32.0,2015,2520.0,1.0
688,32.0,2014,2460.0,1.0
689,32.0,2013,2410.0,1.0
690,32.0,2012,2390.0,1.0
691,32.0,2011,2240.0,1.0
692,32.0,2010,2040.0,1.0
693,32.0,2009,1860.0,1.0
694,32.0,2008,1770.0,1.0
695,32.0,2007,1640.0,1.0
696,32.0,2006,1330.0,1.0
697,32.0,2005,1200.0,1.0
698,32.0,2004,1030.0,1.0
699,32.0,2003,910.0,0.0
700,32.0,2002,810.0,0.0
701,32.0,2001,750.0,0.0
702,32.0,2000,700.0,0.0
703,32.0,1999,560.0,0.0
704,32.0,1998,530.0,0.0
705,32.0,1997,550.0,0.0
706,32.0,1996,510.0,0.0
707,32.0,1995,460.0,0.0
708,32.0,1994,450.0,0.0
709,32.0,1993,420.0,0.0
710,32.0,1992,450.0,0.0
711,32.0,1991,480.0,0.0
712,32.0,1990,560.0,0.0
713,28.0,2020,3190.0,1.0
714,28.0,2019,3520.0,1.0
715,28.0,2018,3370.0,1.0
716,28.0,2017,3090.0,1.0
717,28.0,2016,3040.0,1.0
718,28.0,2015,2960.0,1.0
719,28.0,2014,2830.0,1.0
720,28.0,2013,2590.0,1.0
721,28.0,2012,2250.0,1.0
722,28.0,2011,2000.0,1.0
723,28.0,2010,1780.0,1.0
724,28.0,2009,1620.0,1.0
725,28.0,2008,1480.0,1.0
726,28.0,2007,1220.0,1.0
727,28.0,2006,1110.0,1.0
728,28.0,2005,1020.0,0.0
729,28.0,2004,950.0,0.0
730,28.0,2003,910.0,0.0
731,28.0,2002,920.0,0.0
732,28.0,2001,950.0,0.0
733,28.0,2000,980.0,0.0
734,28.0,1999,980.0,0.0
735,28.0,1998,990.0,0.0
736,28.0,1997,950.0,0.0
737,28.0,1996,900.0,0.0
738,28.0,1995,850.0,0.0
739,28.0,1994,810.0,0.0
740,28.0,1993,790.0,0.0
741,28.0,1992,770.0,0.0
742,28.0,1991,740.0,0.0
743,28.0,1990,720.0,0.0
744,24.0,2020,6080.0,2.0
745,24.0,2019,6170.0,2.0
746,24.0,2018,5750.0,2.0
747,24.0,2017,5120.0,2.0
748,24.0,2016,5130.0,2.0
749,24.0,2015,5210.0,2.0
750,24.0,2014,5300.0,2.0
751,24.0,2013,5270.0,2.0
752,24.0,2012,4990.0,2.0
753,24.0,2011,5010.0,2.0
754,24.0,2010,4960.0,2.0
755,24.0,2009,4970.0,2.0
756,24.0,2008,4730.0,2.0
757,24.0,2007,3920.0,1.0
758,24.0,2006,3410.0,1.0
759,24.0,2005,3060.0,1.0
760,24.0,2004,2700.0,1.0
761,24.0,2003,2030.0,1.0
