acceso_servicios_sanitarios(%),año,esperanza_vida_total,estado_civil_casado_porcentaje,pais_id,tasa_bruta_mortalidad_por_1000_habitantes,tasa_fertilidad,tasa_mortalidad_infantil_ambos,tasa_mortalidad_suicidio_c/100.000,tasa_poblacion_urbana,total_muertes_por_sexo_fem,nivel_id
20.22442509,2016.0,60.354,75.6997504422479,19.0,9.313,5.323571,56.67036,7.8,28.134,87023.0,0.0
19.80409494,2015.0,59.919,75.9430791444032,19.0,9.634,5.477746,58.26619,8.0,27.53,87635.0,0.0
19.36044382,2014.0,59.45,76.1803207690322,19.0,9.96,5.59458,59.98579,8.0,26.934,88076.0,0.0
18.89357939,2013.0,58.937,76.4127066273715,19.0,10.309,5.696814,61.75123,8.3,26.346,88866.0,0.0
18.40395763,2012.0,58.374,76.6278629057248,19.0,10.507,5.792908,63.59943,8.3,25.767,87678.0,0.0
17.89136872,2011.0,57.761,76.8347992473504,19.0,10.838,5.868857,65.54875,7.9,25.196,87689.0,0.0
17.35592532,2010.0,57.096,77.0268643168694,19.0,11.253,5.935555,67.81801,8.0,24.633,88696.0,0.0
16.79812836,2009.0,56.377,77.1116504452023,19.0,11.609,5.991529,70.15951,8.0,24.079,88984.0,0.0
16.21813451,2008.0,55.618,77.1760653279169,19.0,12.022,6.050066,72.71432,8.0,23.534,88924.0,0.0
15.61530459,2007.0,54.841,77.2207838641351,19.0,12.633,6.109877,75.80943,8.1,22.996,91012.0,0.0
14.93825828,2006.0,54.063,77.2533078608133,19.0,13.065,6.170291,78.5898,8.1,22.339,91182.0,0.0
14.17219809,2005.0,53.31,77.2821447602018,19.0,13.499,6.182369,81.33049,8.0,21.537,90893.0,0.0
13.38412363,2004.0,52.602,77.3373133491098,19.0,13.976,6.215618,84.12786,8.0,20.757,91743.0,0.0
12.57324407,2003.0,51.956,77.4357215251666,19.0,14.435,6.28033,86.65877,7.9,19.996,91828.0,0.0
11.74181187,2002.0,51.384,77.5706726790222,19.0,14.837,6.338846,88.84422,8.0,19.258,91345.0,0.0
10.88901987,2001.0,50.893,77.7314734135044,19.0,15.071,6.430958,90.41425,8.2,18.54,89724.0,0.0
10.56728196,2000.0,50.489,77.9158148374436,19.0,15.314,6.519127,92.05037,8.6,17.844,88401.0,0.0
73.2832388716,1999.0,50.168,78.1036022911514,19.0,15.719,6.585712,93.55968,2.42,17.166,88689.0,0.0
74.799920438,1998.0,49.914,78.3083590537648,19.0,16.029,6.660543,94.97428,2.7199999999999998,16.51,88344.0,0.0
82.637660482,1997.0,49.713,78.5831610529805,19.0,16.498,6.723843,96.82565,2.58,15.875,88779.0,0.0
73.9999462506,1996.0,49.557,78.8995811571551,19.0,16.461,6.779303,97.56695,2.94,15.407,86007.0,0.0
82.637660482,1995.0,49.445,79.2279238375868,19.0,16.651,6.814445,98.65456,2.58,15.131,84933.0,0.0
74.54579208,1994.0,49.38,79.5655373891222,19.0,16.823,6.843407,99.34598,2.7,14.86,83446.0,0.0
81.68413568599999,1993.0,49.36,79.9010033970136,19.0,16.967,6.888799,99.66438,3.9,14.593,82405.0,0.0
74.330706862,1992.0,49.374,80.2182085480449,19.0,16.918,6.936353,99.83737,3.6,14.33,80088.0,0.0
75.43425832400001,1991.0,49.409,80.5068718072189,19.0,16.985,6.972895,99.97139,2.3,14.07,78323.0,0.0
74.037701928,1990.0,49.454,80.7584089825831,19.0,17.079,7.009116,100.1959,3.4799999999999995,13.815,76589.0,0.0
45.72751068,2020.0,61.916,56.3637686700694,16.0,7.562,5.176555,38.64784,2.58,13.708,43108.0,0.0
45.74527589,2019.0,61.584,57.2217164393017,16.0,7.352,5.271263,39.94768,6.2,13.366,40806.0,0.0
